,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
358,Nome,64.5011,-165.4064,32.0,86,90,5.75,US,1618628098
359,Robertson,36.5167,-86.8667,53.6,58,20,6.13,US,1618628393
360,Hamilton,39.1834,-84.5333,50.0,71,1,2.77,US,1618628393
361,Araouane,18.9048,-3.5265,84.74,15,100,10.96,ML,1618628394
362,Waingapu,-9.6567,120.2641,84.65,70,62,11.9,ID,1618628394
363,Ilebo,-4.3167,20.5833,69.6,95,91,1.63,CD,1618628349
364,Labuhan,-6.8844,112.2051,84.96,67,30,3.69,ID,1618628154
365,Okha,53.5739,142.9478,33.48,98,95,6.69,RU,1618628415
366,Salalah,17.0151,54.0924,77.0,73,0,5.75,OM,1618628366
367,Solnechnyy,50.7214,136.6319,42.01,78,100,3.24,RU,1618628416
368,Makkah al Mukarramah,21.4267,39.8261,79.47,51,44,2.15,SA,1618628417
369,Ulladulla,-35.35,150.4667,63.0,67,90,6.55,AU,1618628169
370,Mazara del Vallo,37.6641,12.588,53.6,94,20,3.44,IT,1618628418
371,Thinadhoo,0.5333,72.9333,81.77,66,85,4.97,MV,1618628336
372,Khandyga,62.6667,135.6,31.89,93,100,17.9,RU,1618628419
373,Tías,28.9611,-13.645,66.2,77,20,14.97,ES,1618628419
374,Severo-Yeniseyskiy,60.3725,93.0408,7.68,69,83,10.13,RU,1618628168
375,Campbell River,50.0163,-125.2446,68.0,32,1,2.3,CA,1618628421
376,Maţāy,28.419,30.7792,70.0,23,0,8.12,EG,1618628421
377,Necochea,-38.5473,-58.7368,60.08,90,0,5.39,AR,1618628422
378,Berlevåg,70.8578,29.0864,39.49,87,100,34.09,NO,1618628133
379,São Gabriel da Cachoeira,-0.1303,-67.0892,73.24,97,100,1.41,BR,1618628422
380,Tiarei,-17.5333,-149.3333,86.0,66,20,11.5,PF,1618628423
381,Morón,-34.6534,-58.6198,69.01,80,31,3.2,AR,1618628418
382,Deputatsky,69.3,139.9,9.01,86,93,4.94,RU,1618628077
383,Warri,5.5167,5.75,76.6,90,100,2.98,NG,1618628424
384,Freeport,40.6576,-73.5832,46.99,81,90,9.22,US,1618628382
385,Puro,12.4841,123.3827,82.98,71,96,8.97,PH,1618628425
386,Xingyi,24.1877,102.817,57.74,92,100,2.62,CN,1618628166
387,Omsukchan,62.5333,155.8,23.27,59,1,7.34,RU,1618628426
388,Lubango,-14.9172,13.4925,59.23,76,45,1.81,AO,1618628426
389,Aquiraz,-3.9014,-38.3911,80.6,83,40,8.05,BR,1618628144
390,Harrai,22.6167,79.2167,90.0,17,20,12.66,IN,1618628174
391,Valentín Gómez Farías,28.2167,-106.5833,57.0,29,93,1.01,MX,1618628427
392,Kutum,14.2,24.6667,67.73,10,62,8.66,SD,1618627857
393,Encruzilhada,-15.5314,-40.9094,61.34,94,6,4.63,BR,1618628428
394,Turkmenabat,39.0733,63.5786,59.0,51,75,2.3,TM,1618628429
395,Bonavista,48.6499,-53.1147,33.01,86,28,3.44,CA,1618628429
396,Kamenka,51.3223,42.7678,52.0,58,81,5.66,RU,1618628061
397,Salinópolis,-0.6136,-47.3561,78.69,83,98,8.12,BR,1618628430
398,Atar,20.5169,-13.0499,71.62,29,0,9.69,MR,1618627775
399,Selma,36.5708,-119.6121,73.4,25,20,8.05,US,1618628431
400,Mahon,39.8885,4.2658,50.0,57,0,10.36,ES,1618628431
401,Grand Gaube,-20.0064,57.6608,80.01,82,36,5.99,MU,1618628116
402,Puerto Gaitán,4.3133,-72.0816,82.92,67,100,3.33,CO,1618628432
403,Narsaq,60.9167,-46.05,15.8,38,4,2.3,GL,1618628433
404,Mugur-Aksy,50.35,90.5,40.3,25,88,3.98,RU,1618628387
405,Vangaindrano,-23.35,47.6,66.61,79,100,7.87,MG,1618628132
406,Port Hedland,-20.3167,118.5667,93.2,26,0,20.71,AU,1618628064
407,San Patricio,28.017,-97.5169,75.2,94,90,6.91,US,1618628288
408,Catuday,16.2923,119.8062,82.71,68,98,7.9,PH,1618628455
409,Nishihara,26.1842,127.7558,77.0,94,90,10.36,JP,1618628455
410,Santa Cruz de la Sierra,-17.8,-63.1667,73.08,77,0,5.08,BO,1618628358
411,Northam,51.0333,-4.2167,36.0,78,6,1.01,GB,1618628377
412,Wajima,37.4,136.9,51.8,100,75,5.75,JP,1618628456
413,Wajid,3.8093,43.2471,75.49,84,41,13.02,SO,1618628113
414,Yeppoon,-23.1333,150.7333,84.2,51,40,9.22,AU,1618628457
415,Yenagoa,4.9247,6.2642,77.34,86,100,3.27,NG,1618628457
416,Sartell,45.6216,-94.2069,48.99,46,1,5.75,US,1618628458
417,Salym,60.0625,71.4789,31.06,52,100,10.36,RU,1618628459
418,Kavaratti,10.5669,72.642,84.04,72,5,6.46,IN,1618628459
419,Zhigansk,66.7697,123.3711,21.43,76,100,19.01,RU,1618628460
420,Conde,-7.2597,-34.9075,75.2,100,20,3.44,BR,1618627981
421,Mount Gambier,-37.8333,140.7667,62.6,63,90,11.5,AU,1618628376
422,Dzidzantun,21.25,-89.05,77.04,74,0,3.56,MX,1618628461
423,Taikang,46.8333,124.4167,48.63,42,92,14.99,CN,1618628462
424,Coahuayana Viejo,18.7333,-103.6833,70.54,78,0,1.57,MX,1618628104
425,Kazanskoye,55.6448,69.235,35.49,65,7,3.96,RU,1618628462
426,Najrān,17.4924,44.1277,69.8,28,40,4.61,SA,1618628463
427,Podor,16.6527,-14.9587,79.86,23,0,14.16,MR,1618628463
428,Brazzaville,-4.2658,15.2832,75.2,94,40,2.3,CG,1618628464
429,Honiara,-9.4333,159.95,83.95,80,55,5.86,SB,1618628464
430,Kununurra,-15.7667,128.7333,89.6,31,41,10.36,AU,1618628465
431,Valley City,46.9233,-98.0032,41.0,81,90,11.5,US,1618628465
432,Rumoi,43.9344,141.6428,46.26,92,100,11.54,JP,1618628466
433,Kruisfontein,-34.0033,24.7314,50.09,68,1,6.71,ZA,1618627778
434,Boddam,57.4667,-1.7833,39.0,86,92,1.14,GB,1618628467
435,Grand Forks,47.9417,-97.4337,37.0,93,1,8.05,US,1618628467
436,Lompoc,34.6391,-120.4579,53.6,76,2,11.5,US,1618628061
437,Golub-Dobrzyń,53.1109,19.0538,39.0,96,100,8.21,PL,1618628468
438,San Fernando del Valle de Catamarca,-28.4696,-65.7852,62.01,88,7,1.99,AR,1618628181
439,Polunochnoye,60.8697,60.4153,36.45,69,100,9.95,RU,1618628469
440,Wattegama,6.7989,81.4808,78.8,100,75,3.44,LK,1618628469
441,Ishigaki,24.3448,124.1572,73.4,83,75,14.97,JP,1618628138
442,Jiamusi,46.8333,130.35,51.73,46,95,6.91,CN,1618628470
443,Longyearbyen,78.2186,15.6401,14.0,62,20,11.5,SJ,1618628471
444,Awjilah,29.1081,21.2869,81.93,13,1,14.2,LY,1618628133
445,Quatre Cocos,-20.2078,57.7625,81.0,88,40,4.61,MU,1618628472
446,Dzilam González,21.2833,-88.9333,78.19,69,0,4.79,MX,1618628473
447,Saint-Augustin,51.226,-58.6502,30.74,81,31,10.4,CA,1618628163
448,Samarai,-10.6167,150.6667,84.15,74,53,12.66,PG,1618628148
449,Skellefteå,64.7507,20.9528,25.0,93,86,4.61,SE,1618628475
450,Usinsk,65.9939,57.5281,27.63,86,100,17.72,RU,1618628475
451,Palenque/Temp,17.5167,-91.9667,90.18,34,71,2.24,MX,1618628459
452,Camacha,33.0833,-16.3333,62.6,67,75,9.22,PT,1618628132
453,Ardmore,34.1743,-97.1436,50.0,87,90,11.5,US,1618628496
454,Watrous,51.6668,-105.4679,48.2,34,7,2.3,CA,1618628497
455,Cabano,10.5869,122.7002,85.57,67,100,12.68,PH,1618628498
456,Kavieng,-2.5744,150.7967,81.52,73,95,4.27,PG,1618628498
457,Blackwater,-23.5833,148.8833,83.28,33,0,7.29,AU,1618628499
458,Healdsburg,38.6105,-122.8692,55.99,81,20,6.91,US,1618628418
459,La Providencia,28.7167,-111.5833,73.99,41,0,8.95,MX,1618628500
460,Mindelo,16.8901,-24.9804,69.8,73,20,26.46,CV,1618628500
461,Warrington,53.3925,-2.5802,39.99,82,17,3.67,GB,1618628501
462,Mawlaik,23.6333,94.4167,91.54,29,87,5.01,MM,1618628501
463,Bangkal,6.0667,121.0667,83.34,72,100,9.71,PH,1618628502
464,Zhezkazgan,47.8043,67.7144,57.06,42,89,6.4,KZ,1618628122
465,Olafsvik,64.8945,-23.7142,37.54,75,75,27.22,IS,1618628100
466,Kirksville,40.1948,-92.5833,48.2,61,90,6.91,US,1618628433
467,Garissa,-0.4536,39.6401,77.56,85,20,13.73,KE,1618628503
468,Esna,25.2934,32.554,68.0,32,0,4.43,EG,1618628504
469,Mpulungu,-8.7623,31.1141,71.1,84,100,8.37,ZM,1618628504
470,Chalmette,29.9427,-89.9634,66.99,88,90,6.91,US,1618628505
471,Kieta,-6.2167,155.6333,81.55,82,100,7.29,PG,1618628505
472,Saýat,38.7839,63.8803,59.0,51,75,2.3,TM,1618628506
473,Athabasca,54.7169,-113.2854,60.8,29,84,4.61,CA,1618628506
474,Saskylakh,71.9167,114.0833,4.62,92,100,15.21,RU,1618628058
475,Acaraú,-2.8856,-40.12,77.61,89,91,11.01,BR,1618628322
476,Civitanova Marche,43.307,13.7206,43.0,70,100,7.0,IT,1618628508
477,Viedma,-40.8135,-62.9967,61.75,53,62,7.2,AR,1618628508
478,Gemena,3.25,19.7667,70.27,91,93,2.77,CD,1618628509
479,Harper,4.375,-7.7169,79.47,82,57,6.33,LR,1618628509
480,Alibag,18.6411,72.8792,84.2,78,0,7.07,IN,1618628510
481,Faya,18.3851,42.4509,60.8,27,0,5.84,SA,1618628149
482,Acarí,-15.4311,-74.6158,71.19,76,100,2.39,PE,1618628511
483,Broome,42.2506,-75.833,39.99,100,90,9.22,US,1618628511
484,Peniche,39.3558,-9.3811,54.0,91,82,4.94,PT,1618627778
485,Nara,34.6851,135.8049,59.0,94,75,3.44,JP,1618628474
486,Burnie,-41.0667,145.9167,62.01,65,82,8.99,AU,1618628296
487,Muli,2.9167,73.5667,82.72,71,84,7.2,MV,1618628512
488,Goianésia,-15.3175,-49.1175,69.94,69,44,2.17,BR,1618628491
489,Olinda,-8.0089,-34.8553,73.4,88,40,2.3,BR,1618628513
490,Goderich,43.7501,-81.7165,39.2,87,100,5.75,CA,1618628106
491,Eucaliptus,-17.5833,-67.5167,46.96,72,0,6.13,BO,1618628514
492,Poum,-20.2333,164.0167,78.64,73,31,6.71,NC,1618628514
493,Tuy Hoa,13.0833,109.3,85.59,56,80,5.84,VN,1618628515
494,Prince Rupert,54.3161,-130.3201,57.2,51,1,5.75,CA,1618628535
495,Ostrovnoy,68.0531,39.5131,37.2,89,100,24.52,RU,1618628176
496,Aklavik,68.2191,-135.0107,35.6,55,100,3.44,CA,1618628536
497,Auki,-8.7676,160.7034,84.13,73,38,1.74,SB,1618628540
498,Yerbogachën,61.2767,108.0108,12.56,66,100,16.06,RU,1618628540
499,Sortavala,61.7053,30.6918,34.07,91,7,6.51,RU,1618628541
500,Primorka,47.2836,39.0625,50.0,93,40,6.71,RU,1618628541
501,Aasiaat,68.7098,-52.8699,3.6,85,100,10.78,GL,1618628542
502,Cambridge,43.3601,-80.3127,39.99,93,90,8.05,CA,1618628229
503,Miranda,3.2499,-76.2281,68.0,88,75,2.3,CO,1618628543
504,Saint-Pierre,-21.3393,55.4781,77.0,83,0,3.44,RE,1618628180
505,Altay,47.8667,88.1167,54.97,32,68,3.18,CN,1618628544
506,Jerez,14.1,-89.75,72.09,83,65,4.23,GT,1618628544
507,Slave Lake,55.2834,-114.769,44.6,53,75,3.44,CA,1618628409
508,Paamiut,61.994,-49.6678,9.43,65,65,12.68,GL,1618628046
509,Sobolevo,54.4299,31.8996,42.98,92,47,5.21,RU,1618628545
510,Bathsheba,13.2167,-59.5167,80.6,61,40,17.27,BB,1618628383
511,Kashan,33.9831,51.4364,64.8,28,38,4.41,IR,1618628546
512,Hołoby,51.0865,25.0077,41.0,98,100,5.01,UA,1618628546
513,Cockburn Town,21.4612,-71.1419,76.71,72,13,11.39,TC,1618628357
514,Muscat,23.6139,58.5922,78.8,44,0,3.44,OM,1618628542
515,Orlik,52.5178,99.825,40.21,60,100,4.76,RU,1618628550
516,Kaspiysk,42.8816,47.6392,46.4,93,16,8.95,RU,1618628551
517,Nova Lima,-19.9856,-43.8467,60.8,77,0,3.58,BR,1618628551
518,Tefé,-3.3542,-64.7114,73.83,97,100,2.71,BR,1618628552
519,Tongliao,43.6125,122.2653,42.75,61,100,17.56,CN,1618628552
520,Avaré,-23.0986,-48.9258,61.61,92,89,3.44,BR,1618628553
521,Odawara,35.2556,139.1597,62.01,94,75,11.72,JP,1618628553
522,Kaharlyk,49.8623,30.8282,41.0,93,90,6.71,UA,1618628554
523,San Quintín,30.4833,-115.95,57.49,78,0,15.32,MX,1618627927
524,Cerqueira César,-23.0356,-49.1661,62.24,92,99,3.13,BR,1618628555
525,Tamale,9.4008,-0.8393,80.6,63,100,9.57,GH,1618628555
526,Tateyama,34.9833,139.8667,64.99,72,75,13.8,JP,1618628513
527,Springbok,-29.6643,17.8865,68.14,32,51,5.01,ZA,1618628130
528,Itarema,-2.9248,-39.9167,77.22,89,90,9.78,BR,1618628556
529,Ouadda,8.0777,22.4007,67.14,17,48,3.76,CF,1618628287
530,Kopavogur,64.1123,-21.913,41.0,60,90,19.57,IS,1618628557
531,Vestmanna,62.1564,-7.1664,44.6,100,75,10.36,FO,1618628558
532,Bambanglipuro,-7.95,110.2833,85.26,66,85,9.46,ID,1618628510
533,Qalyub,30.1792,31.2056,64.0,59,0,3.44,EG,1618628559
534,Lagoa,39.05,-27.9833,61.83,95,98,12.08,PT,1618628521
535,Pokhara,28.2333,83.9833,85.14,14,58,5.21,NP,1618628560
536,Dehlorān,32.6941,47.2679,73.26,23,100,5.84,IR,1618628560
537,Shache,38.4167,77.2406,62.35,29,100,10.04,CN,1618628581
538,Gezing,47.9178,13.1299,33.01,86,90,1.14,AT,1618628582
539,Tual,-5.6667,132.75,83.12,71,56,13.98,ID,1618628178
540,Balkanabat,39.5108,54.3671,64.74,47,4,7.31,TM,1618628583
541,Buraidah,26.326,43.975,68.0,73,20,12.66,SA,1618628583
542,Suslovo,56.2167,88.1167,25.16,66,52,8.1,RU,1618628584
543,Lang Son,21.8333,106.7333,69.96,93,100,4.43,VN,1618628584
544,Dakoro,14.5106,6.765,78.03,8,35,7.7,NE,1618628585
545,Blumenau,-26.9194,-49.0661,70.0,95,100,0.6,BR,1618628357
546,Santa Comba,43.0331,-8.8093,46.0,54,60,10.0,ES,1618628586
547,Macao,22.2006,113.5461,75.2,88,40,4.61,MO,1618628586
548,Conceição do Araguaia,-8.2578,-49.2647,73.72,91,97,2.21,BR,1618628467
549,Salinas,36.6777,-121.6555,53.6,71,90,9.22,US,1618628441
550,Lima,-12.0432,-77.0282,69.01,88,0,6.91,PE,1618628587
551,Barpeta,26.3167,91.0,68.0,77,90,3.44,IN,1618628588
552,Kidal,18.4411,1.4078,85.64,7,63,6.96,ML,1618628362
553,Markova,48.6758,24.4138,32.31,87,89,4.45,UA,1618628589
554,Sørland,67.667,12.6934,40.5,82,0,15.28,NO,1618628150
555,Nador,35.174,-2.9287,53.6,94,0,2.3,MA,1618628590
556,Aguçadoura,41.4318,-8.7804,55.99,82,0,6.91,PT,1618628555
557,Malanje,-9.5402,16.341,61.7,98,100,3.15,AO,1618628590
558,Hollins,37.3413,-79.9431,51.8,46,1,11.5,US,1618628591
559,Anadyr,64.75,177.4833,35.6,80,0,24.61,RU,1618627822
560,Cassino,41.4876,13.8315,50.0,36,100,1.01,IT,1618628592
561,Krasnyy Chikoy,50.3643,108.7512,52.93,29,8,10.78,RU,1618628528
562,Bolama,11.5833,-15.4667,76.73,66,48,9.37,GW,1618628592
563,Naberera,-4.2,36.9333,61.65,88,100,5.55,TZ,1618628593
564,Shalya,57.2471,58.7298,37.11,62,53,2.04,RU,1618628594
565,Mwense,-10.3845,28.698,64.63,90,100,5.77,ZM,1618628594
566,Assiut,27.181,31.1837,68.0,37,0,11.5,EG,1618628595
567,Gizo Government Station,-8.103,156.8419,84.45,69,52,5.12,SB,1618628069
568,Goedereede,51.8175,3.9806,41.0,85,8,13.27,NL,1618628596
569,Stephenville,32.2207,-98.2023,55.4,82,90,18.41,US,1618628148
570,Inongo,-1.95,18.2667,72.16,90,100,3.58,CD,1618628533
571,Turan,16.0678,108.2208,82.4,78,40,5.75,VN,1618628597
572,Mafinga,-7.25,35.0667,63.75,94,92,2.04,TZ,1618628592
573,Leh,34.1667,77.5833,36.82,68,100,4.72,IN,1618628569
574,Kyabé,9.4515,18.9449,82.42,11,51,5.39,TD,1618628598
575,Wanaka,-44.7,169.15,55.0,64,29,2.53,NZ,1618628376
576,Vilyuysk,63.7553,121.6247,24.04,77,71,13.76,RU,1618628592
577,Mpongwe,-13.5091,28.155,61.61,67,4,11.34,ZM,1618628600
578,Khovu-Aksy,51.1333,93.6,49.44,37,13,2.17,RU,1618628600
579,Hanyang,32.1371,105.5126,61.39,74,100,2.57,CN,1618628601
580,Palana,59.1167,159.9667,25.63,89,100,25.34,RU,1618628601
581,Muscatine,41.4667,-91.1335,53.6,62,90,5.75,US,1618628602
582,Kaeo,-35.1,173.7833,66.0,64,17,11.01,NZ,1618628153
583,Tautira,-17.7333,-149.15,86.0,66,20,11.5,PF,1618628544
584,San Andrés,12.5847,-81.7006,82.4,83,75,11.5,CO,1618628623
585,Forrest City,35.0081,-90.7898,59.0,55,90,3.44,US,1618628624
586,Nioro,13.35,-15.75,76.24,38,4,7.29,GM,1618628153
587,Sinnamary,5.3833,-52.95,78.28,81,81,11.3,GF,1618628342
588,Megion,61.0296,76.1136,24.8,50,0,13.42,RU,1618628439
589,Sinazongwe,-17.2614,27.4618,69.51,49,99,6.85,ZM,1618628625
